segment,segment_info,route_segment_info,direction,latitude,longitude,max_elevation,avg_elevation,segment_gradient_average,stop_to_stop_gradient,significant_bend_count
21,BT02 - 201,Digana - Senkadagala Finance,Kandy-Digana,7.299102491,80.7347169,536.0,526.2,-0.012684342795224922,-0.03617173002637711,13
22,201 - 202,Ayanthini Traders - BOI,Digana-Kandy,7.289202964,80.72182382,475.0,469.2857142857143,-0.00774020543183257,-0.013114278506149343,2
23,202 - 203,Balagolla Pansala - Balagolla Kovil,Digana-Kandy,7.2854886,80.7158815,475.0,473.6666666666667,-0.008454384354155157,0.013374636138870695,5
24,203 - 204,Balagolla - Shanika Halt,Digana-Kandy,7.288573879,80.7133065,474.0,469.57142857142856,-0.008322407723765574,-0.0184573031590401,4
25,204 - 205,Ayurweda - Singha Super,Digana-Kandy,7.2827155,80.6975258,494.0,486.75,0.01151801177464864,0.02694736418284946,4
26,205 - 206,Warapitiya Agriculture - Warapitiya,Digana-Kandy,7.2815105,80.6866524,493.0,484.5,-0.01118328378407349,0.005970770205024391,5
27,206 - 207,,Digana-Kandy,7.2815105,80.6866524,493.0,488.8,-0.030982536683040362,-0.033024522770788815,0
28,207 - 208,Police College - Ruhunu Foods,Digana-Kandy,7.281067,80.684356,485.0,477.90909090909093,-0.0077104178327685085,-0.020378597325900766,6
29,208 - 209,Narampotha - Mahawatta Junction,Digana-Kandy,7.2796997,80.6768171,467.0,463.0,-0.017532400213680275,-0.01793050228704151,8
30,209 - 210,Thalwatta - UDF,Digana-Kandy,7.2930162,80.6528942,527.0,517.0,0.030476009021611693,0.03524483843449589,6
31,210 - 211,,Digana-Kandy,7.2909727,80.6471298,544.0,532.2,0.016320915586545876,0.03206125155660817,0
32,211 - 212,Dharmaraja - Malabar,Digana-Kandy,7.290777115,80.64661942,541.0,539.25,-0.013984636167020077,-0.028733351246908984,6
33,212 - 213,Children Park - Mahamaya,Digana-Kandy,7.286916411,80.64734943,529.0,525.2,-0.004082332087027448,0.0,5
34,213 - BT01,,Digana-Kandy,7.2911503,80.6376356,532.0,520.1,-0.06394854417923292,-0.045422622087635284,1
