segment,segment_info,direction,latitude,longitude,max_elevation,avg_elevation,route_segment_info,segment_gradient_average,stop_to_stop_gradient,significant_bend_count
1,BT01 - 101,Kandy-Digana,7.2911503,80.6376356,532.0,511.65,,0.00466237893806221,0.07961840892463319,2
2,101 - 102,Kandy-Digana,7.2911503,80.6376356,532.0,529.5,Devon TP - Malwathu,0.01594802872455637,-0.007985254367625517,7
3,102 - 103,Kandy-Digana,7.2909727,80.6471298,544.0,529.1,Dharmaraja - Lewella junction,-0.011354927342157723,-0.004628008706908876,11
4,103 - 104,Kandy-Digana,7.2930162,80.6528942,527.0,515.7142857142857,Lewella junction - Thalwatta,0.008622779825269945,-0.010949880999990558,4
5,104 - 105,Kandy-Digana,7.286566812,80.66026012,488.0,480.3333333333333,Thennekumbura Mosque - Thennekumbura Filling Station,-0.04084983763635524,-0.05061220461751132,2
6,105 - 106,Kandy-Digana,7.2820263,80.6697177,468.0,450.0,Thennekumbura Bridge - Kirimatiya Junction,0.0131796927824331,0.018454859766334333,7
7,106 - 107,Kandy-Digana,7.2790886,80.6792798,480.0,472.55555555555554,,0.03351459681078082,0.04192340394542769,1
8,107 - 108,Kandy-Digana,7.2802721,80.6823479,485.0,481.8333333333333,Ruhunu Foods - Police College,-0.004439337229542809,0.0018430097363006234,3
9,108 - 109,Kandy-Digana,7.2817583,80.6865632,494.0,487.8333333333333,,0.03151523361009551,0.039732430145238695,1
10,109 - 110,Kandy-Digana,7.2817583,80.6865632,494.0,489.3333333333333,Warapitiya - Warapitiya Agriculture,0.015045368714202177,0.0025166552181212993,3
11,110 - 111,Kandy-Digana,7.2827155,80.6975258,494.0,488.55555555555554,Singha Super - Rifle Brigade,-0.01756365931092727,-0.0361696268508399,4
12,111 - 112,Kandy-Digana,7.2873251,80.7112917,467.0,457.7142857142857,Balagolla Shanika Hotel - Balagolla Kovil,0.01086776726716295,0.01272895299766422,4
13,112 - 113,Kandy-Digana,7.2868848,80.7143315,475.0,473.6666666666667,Balagolla Kovil - Balagolla Mosque,0.0033358371504936257,-0.014521246337235784,5
14,113 - 114,Kandy-Digana,7.2885481,80.7221614,473.0,464.7142857142857,,0.015577602138292613,0.02800999983465798,0
15,114 - BT02,Kandy-Digana,7.2980473,80.733145,525.0,516.6,Digana Village - Digana,0.011985438549096656,0.03399291273191012,10
