segment,segment_info,direction,center_location,total_poi_count,average_poi_distance,place_of_worship,place_of_education,hospital,healthcare,tourist_attractions,commercial_places,nearby_bus_stops,public_places,fuel_station,place_of_accommodation
21,BT02 - 201,Kandy-Digana,"(7.2942338190000005, 80.72626314)",10,0.00761329681841406,5,4,1,1,0,0,4,0,1,0
22,201 - 202,Digana-Kandy,"(7.2878903075, 80.72173721)",4,0.004417486242173434,3,2,0,0,0,0,0,0,1,0
23,202 - 203,Digana-Kandy,"(7.285209290999999, 80.71687051)",4,0.002845108354421158,1,1,0,0,0,0,0,0,1,0
24,203 - 204,Digana-Kandy,"(7.287961449, 80.713655805)",3,0.0048772327889401446,1,0,0,1,0,0,0,0,0,0
25,204 - 205,Digana-Kandy,"(7.281573671, 80.69663536)",4,0.0038143634706279436,2,0,0,1,0,0,0,2,0,0
26,205 - 206,Digana-Kandy,"(7.2813407025, 80.68989002500001)",10,0.004657376237749004,1,0,0,3,2,0,0,9,0,0
27,206 - 207,Digana-Kandy,"(7.2809419455, 80.68508666)",11,0.0018317783280760774,1,0,1,4,4,0,0,8,0,0
28,207 - 208,Digana-Kandy,"(7.2793080315, 80.680512815)",13,0.003435192843230373,2,0,1,6,7,0,0,20,1,0
29,208 - 209,Digana-Kandy,"(7.2804202835, 80.67383401000001)",9,0.003254306338742079,2,1,0,3,6,0,0,20,1,0
30,209 - 210,Digana-Kandy,"(7.28919564, 80.65689344)",10,0.009066032617289575,8,4,0,1,6,0,0,4,2,0
31,210 - 211,Digana-Kandy,"(7.2919840615, 80.64790733999999)",10,0.002430285965753937,4,7,2,5,8,0,0,0,1,0
32,211 - 212,Digana-Kandy,"(7.28855334, 80.64599386)",12,0.0035302212053460306,7,11,2,5,14,0,0,1,1,0
33,212 - 213,Digana-Kandy,"(7.288615329000001, 80.64361187)",13,0.003913685834502957,5,11,2,6,15,0,0,5,0,0
34,213 - BT01,Digana-Kandy,"(7.290966412, 80.637361475)",20,0.0032683072568151076,11,5,1,5,37,3,4,12,0,0
